Oil #1,Oil #2,Outcome
Opalescent Oil,Teal Oil,Minions summoned by Your Summoning Towers have 25% increased Movement Speed
Golden Oil,Indigo Oil,Your Towers deal 10% increased Damage per Type of Tower Active
Verdant Oil,Teal Oil,Your Stone Gaze Towers have 25% increased Duration
Opalescent Oil,Violet Oil,Minions summoned by Your Sentinel Towers have 25% increased Movement Speed
Sepia Oil,Azure Oil,Your Empowering Towers have 25% increased Effect
Silver Oil,Crimson Oil,Your Imbuing Towers also grant 50% increased Critical Strike Chance
Azure Oil,Black Oil,Your Smothering Towers have 25% increased Range
Verdant Oil,Black Oil,Your Empowering Towers have 25% increased Range
Amber Oil,Black Oil,Your Stone Gaze Cage Towers have 25% increased Range
Sepia Oil,Black Oil,Your Temporal Towers have 25% increased Range
Azure Oil,Crimson Oil,Your Fireball Towers have 15% increased Cast Speed
Clear Oil,Black Oil,Your Seismic Towers have 25% increased Range
Clear Oil,Violet Oil,Your Freezebolt Towers have 25% increased Range
Violet Oil,Crimson Oil,Your Flamethrower Towers deal full damage to Fire Enemies
Verdant Oil,Azure Oil,Your Chilling Towers have 25% increased Range
Opalescent Oil,Crimson Oil,Your Shock Nova Towers deal full damage to Lightning Enemies
Golden Oil,Crimson Oil,Your Smothering Towers also grant 10% reduced Damage
Sepia Oil,Teal Oil,Your Lightning Storm Towers deal 25% increased Damage
Sepia Oil,Amber Oil,Your Flamethrower Towers deal 25% increased Damage
Opalescent Oil,Indigo Oil,Cages created by Your Glacial Cage Towers are 20% larger
Indigo Oil,Crimson Oil,Enemies Petrified by Your Stone Gaze Towers take 10% increased Damage
Verdant Oil,Violet Oil,Your Meteor Towers have 25% increased Range
Azure Oil,Indigo Oil,Your Imbuing Towers also grant Onslaught
Silver Oil,Golden Oil,Your Seismic Towers have 100% increased length and range of Cascades
Black Oil,Black Oil,Your Lightning Storm Towers have 25% reduced Impact Delay
Teal Oil,Indigo Oil,Your Temporal Towers also grant Stun Immunity
Opalescent Oil,Verdant Oil,Your Meteor Towers drop an additional Meteor
Sepia Oil,Indigo Oil,Your Flamethrower Towers have 20% chance to inflict Scorch
Clear Oil,Indigo Oil,"Your Smothering Towers also grant 10% chance to be Frozen, Shocked and Ignited"
Clear Oil,Crimson Oil,Your Shock Nova Towers have 25% increased Range
Silver Oil,Verdant Oil,Your Stone Gaze Towers have 20% increased Cooldown Recovery Rate
Verdant Oil,Verdant Oil,Your Arc Towers deal 25% increased Damage
Silver Oil,Azure Oil,Your Scout Towers summon an additional minion
Teal Oil,Crimson Oil,Your Glacial Cage Towers have 20% increased Cooldown Recovery Rate
Clear Oil,Teal Oil,Minions summoned by Your Sentinel Towers have 25% increased Damage
Amber Oil,Amber Oil,Minions summoned by Your Scout Towers have 25% increased Damage
Verdant Oil,Crimson Oil,Your Freezebolt Tower deal full damage to Cold Enemies
Amber Oil,Teal Oil,Your Seismic Towers deal 25% increased Damage
Clear Oil,Sepia Oil,Your Freezebolt Towers deal 25% increased Damage
Amber Oil,Crimson Oil,Your Arc Towers have 25% increased Range
Azure Oil,Azure Oil,Your Summoning Towers have 25% increased Range
Opalescent Oil,Opalescent Oil,Your Smothering Towers also grant 20% reduced Movement Speed
Sepia Oil,Sepia Oil,Your Glacial Cage Towers have 25% increased Duration
Silver Oil,Sepia Oil,Your Seismic Towers have 25% increased Stun Duration
Opalescent Oil,Golden Oil,Your Fireball Towers Projectiles fire in a circle
Opalescent Oil,Azure Oil,Minions summoned by Your Scout Towers have 25% increased Movement Speed
Azure Oil,Violet Oil,Your Sentinel Towers have 25% increased Range
Golden Oil,Violet Oil,Your Imbuing Towers also grant 50% increased Damage
Golden Oil,Azure Oil,Your Stone Gaze Towers have 20% reduced Petrification Delay
Crimson Oil,Black Oil,Your Freezebolt Towers fire 2 additional Projectiles
Teal Oil,Teal Oil,Your Smothering Towers have 25% increased Effect
Golden Oil,Teal Oil,Your Temporal Towers also grant you 20% increased action speed
Sepia Oil,Violet Oil,Your Fireball Towers have 25% increased Range
Teal Oil,Azure Oil,Your Glacial Cage Towers have 25% increased Range
Golden Oil,Verdant Oil,Your Seismic Towers have an additional Cascade
Clear Oil,Azure Oil,Your Temporal Towers have 25% increased Effect
Clear Oil,Opalescent Oil,Enemies inside Glacial Cage take 10% increased Damage
Violet Oil,Black Oil,Your Chilling Towers have 25% increased Duration
Golden Oil,Amber Oil,Your Arc Towers have 3 additional chains
Golden Oil,Sepia Oil,Your Lightning Storm Towers have 25% increased explosion Area of Effect
Amber Oil,Verdant Oil,Your Shock Nova Towers deal 25% increased Damage
